tree_x,tree_y,species,dbh
581426.716,5074521.662,TSHE,23.3
581415.452,5074523.828,ABGR,62.7
581411.407,5074525.371,TSHE,112.6
581421.654,5074525.866,ABGR,71.1
581422.893,5074525.554,TSHE,24.5
581422.506,5074525.716,TSHE,11.7
581419.829,5074529.119,TSHE,22.0
581412.69,5074533.881,TABR,7.8
581411.146,5074534.349,THPL,126.4
581414.9,5074533.231,TSHE,28.5
581424.112,5074528.596,TSHE,64.4
581412.062,5074538.304,TSHE,5.6
581431.329,5074524.32,TSHE,14.4
581429.186,5074525.981,PSME,86.3
581411.433,5074540.707,ABGR,47.9
581417.711,5074535.449,TABR,10.4
581412.663,5074542.048,ABGR,59.7
581426.056,5074529.465,TSHE,7.7
581427.69,5074528.922,ABGR,21.8
581421.378,5074535.185,TSHE,50.6
581418.185,5074542.781,TSHE,31.5
581420.982,5074539.887,TSHE,53.9
581419.431,5074544.35,TSHE,5.9
581428.812,5074529.696,TSHE,7.7
581429.167,5074529.971,TSHE,8.1
581429.43,5074531.711,TSHE,12.0
581434.292,5074522.654,TSHE,27.5
581429.535,5074535.555,NA'(,41.0
581430.174,5074534.714,TSHE,17.1
581432.771,5074528.423,PSME,17.8
581427.67,5074542.933,TSHE,16.4
581432.021,5074532.045,TSHE,6.5
581430.509,5074536.772,TSHE,67.4
581431.42,5074536.924,NA'(,58.7
581433.059,5074542.328,NA'(,55.5
581419.325,5074546.237,TSHE,13.6
581412.347,5074546.447,TSHE,77.9
581411.284,5074546.695,TABR,7.5
581417.265,5074548.255,TSHE,19.1
581430.476,5074547.305,PSME,144.0
581419.887,5074550.024,TSHE,22.2
581421.166,5074550.572,PSME,60.2
581412.25,5074557.416,THPL,11.0
581410.98,5074560.043,TABR,5.0
581411.175,5074560.074,TABR,24.3
581411.868,5074562.298,TSHE,56.1
581421.918,5074555.263,TSHE,7.0
581432.734,5074547.703,TSHE,42.1
581432.559,5074547.897,TSHE,7.4
581427.696,5074555.569,TSHE,8.1
581427.235,5074556.333,THPL,22.7
581414.746,5074570.173,PSME,79.9
581416.763,5074569.431,TSHE,40.8
581423.111,5074565.671,PSME,77.8
581424.986,5074565.078,THPL,106.0
581428.399,5074558.891,ABGR,55.9
581425.77,5074569.906,TABR,5.3
581429.878,5074556.865,TSHE,10.7
581430.643,5074564.369,TSHE,13.1
581430.064,5074567.599,TABR,17.4
581432.441,5074563.833,PSME,126.4
581456.74,5074546.373,PSME,78.9
581455.149,5074546.345,PSME,75.1
581445.068,5074546.976,TSHE,5.4
581443.059,5074547.075,TSHE,5.2
581441.542,5074548.047,TSHE,13.6
581441.683,5074548.541,TABR,5.7
581441.905,5074549.515,TABR,21.5
581435.829,5074553.613,TSHE,11.0
581447.514,5074550.153,TABR,22.5
581451.141,5074548.99,TABR,22.8
581454.695,5074547.587,PSME,122.2
581435.902,5074559.49,TABR,6.2
581436.144,5074559.314,TABR,32.1
581440.65,5074557.345,ABGR,27.8
581445.162,5074555.449,THPL,9.1
581444.728,5074557.292,TSHE,70.0
581453.801,5074551.398,PSME,131.0
581457.902,5074548.777,TABR,6.3
581437.996,5074568.378,TSHE,11.2
581437.757,5074569.78,TSHE,18.1
581436.897,5074570.65,TSHE,7.3
581442.594,5074565.563,PSME,76.3
581445.172,5074564.669,PSME,108.7
581447.632,5074565.307,TABR,38.7
581454.889,5074555.12,TABR,31.7
581452.244,5074564.881,TSHE,9.7
581458.109,5074557.678,TABR,29.8
581457.823,5074559.761,TSHE,5.4
581457.956,5074560.765,THPL,7.1
581457.521,5074520.832,PSME,166.2
581441.528,5074523.081,THPL,8.8
581450.483,5074522.545,TABR,8.7
581447.891,5074522.963,TABR,14.3
581436.969,5074528.592,PSME,54.7
581435.649,5074529.878,TSHE,40.8
581446.065,5074525.978,TABR,11.5
581448.186,5074525.845,PSME,101.0
581443.597,5074527.801,ABGR,55.1
581442.244,5074528.036,TABR,9.9
581446.114,5074527.274,ABGR,26.4
581445.953,5074527.916,TSHE,8.2
581447.264,5074528.691,TSHE,26.0
581443.752,5074530.724,TABR,8.7
581450.425,5074527.067,TSHE,13.9
581437.786,5074535.148,TSHE,5.9
581446.631,5074531.205,TABR,28.6
581443.58,5074534.061,TABR,9.0
581440.904,5074537.121,TSHE,5.6
581442.198,5074538.8,TSHE,8.6
581438.013,5074543.715,PIMO,114.5
581450.76,5074530.881,TABR,19.0
581456.561,5074526.363,PSME,57.8
581449.781,5074541.355,THPL,92.9
581448.977,5074543.073,TSHE,5.0
581454.767,5074532.324,PSME,47.9
581453.307,5074540.563,TSHE,5.8
581458.728,5074525.439,TSHE,61.2
581456.151,5074538.038,THPL,122.5
581456.372,5074539.147,TSHE,9.7
581458.395,5074538.987,TSHE,7.4
581458.569,5074537.888,TSHE,6.4
581458.483,5074537.154,TSHE,6.7
581426.494,5074571.041,TSHE,11.2
581416.118,5074571.357,TSHE,16.2
581412.964,5074572.292,TABR,80.0
581424.515,5074572.807,THPL,73.8
581429.96,5074572.356,TABR,14.7
581423.289,5074573.691,TSHE,10.1
581421.663,5074574.347,PSME,71.9
581416.491,5074575.705,TABR,18.4
581423.448,5074573.967,TSHE,6.8
581422.329,5074576.835,TABR,16.9
581428.329,5074574.577,PSME,140.6
581415.687,5074580.299,TABR,12.5
581427.031,5074575.769,THPL,80.7
581417.076,5074582.115,THPL,142.9
581419.079,5074581.385,TSHE,5.3
581414.533,5074583.564,TSHE,9.2
581431.809,5074573.6,PSME,124.0
581420.195,5074582.892,TSHE,15.9
581415.84,5074585.414,PSME,111.1
581415.003,5074586.603,TABR,17.7
581420.509,5074584.35,TSHE,6.8
581433.007,5074573.734,TSHE,14.9
581415.434,5074592.785,PSME,84.4
581420.049,5074589.028,THPL,85.2
581421.168,5074589.401,THPL,8.9
581419.972,5074594.011,NA'(,45.0
581428.542,5074584.633,TSHE,12.0
581429.927,5074583.481,TSHE,5.8
581431.191,5074582.513,TSHE,10.2
581429.165,5074588.377,TSHE,5.5
581429.432,5074587.871,TSHE,7.7
581430.075,5074593.692,THPL,71.1
581433.099,5074581.598,THPL,82.2
581434.514,5074577.345,TSHE,12.8
581438.737,5074573.447,PSME,77.7
581437.853,5074572.964,TSHE,30.1
581442.706,5074575.309,TABR,19.8
581443.174,5074576.481,PSME,144.2
581437.244,5074577.935,TABR,23.8
581454.927,5074573.705,PSME,137.8
581441.83,5074581.755,TABR,32.0
581435.679,5074588.865,TSHE,59.1
581435.293,5074590.196,THPL,92.9
581438.859,5074587.952,THPL,23.2
581444.83,5074583.309,PSME,94.5
581435.517,5074591.36,TSHE,6.5
581435.399,5074592.966,THPL,32.5
581444.177,5074587.857,TABR,12.3
581450.201,5074583.039,PSME,148.2
581448.265,5074586.341,THPL,38.8
581458.169,5074575.491,THPL,10.3
581457.528,5074578.227,TSHE,82.8
581453.76,5074591.4,TSHE,6.0
581456.85,5074584.115,TSHE,6.2
581455.675,5074595.496,TABR,15.3
581459.498,5074581.863,THPL,26.5
581470.805,5074572.246,TABR,8.6
581460.641,5074571.474,TSHE,30.6
581461.217,5074574.032,PSME,123.1
581463.455,5074576.459,TSHE,59.2
581460.526,5074577.972,THPL,18.2
581473.359,5074575.025,THPL,128.0
581473.121,5074576.181,PSME,81.5
581465.102,5074579.578,TSHE,32.3
581471.593,5074578.733,TSHE,9.1
581470.944,5074579.565,PSME,70.1
581461.91,5074585.984,TABR,19.9
581471.336,5074580.374,TSHE,80.1
581475.495,5074578.344,PSME,40.5
581477.074,5074577.609,THPL,44.0
581478.061,5074577.643,THPL,146.5
581474.337,5074582.751,TSHE,34.6
581467.198,5074595.087,TSHE,54.1
581469.711,5074594.394,TSHE,22.2
581483.384,5074573.658,TABR,10.4
581473.565,5074592.56,TABR,14.2
581477.657,5074586.666,THPL,182.5
581477.217,5074587.619,THPL,23.3
581474.462,5074593.602,THPL,127.9
581476.749,5074593.609,PSME,154.4
581480.933,5074584.006,TABR,13.4
581481.262,5074589.201,PSME,84.1
581481.087,5074595.587,PSME,106.4
581483.326,5074587.767,THPL,70.6
581482.187,5074546.47,TSHE,39.7
581463.181,5074547.863,PSME,125.6
581461.307,5074550.475,THPL,75.0
581461.169,5074551.174,TSHE,13.4
581461.257,5074551.621,TSHE,5.2
581476.913,5074548.156,PSME,128.0
581477.741,5074548.618,TSHE,44.5
581476.687,5074549.054,TSHE,23.5
581467.391,5074552.842,TABR,5.1
581465.735,5074555.611,THPL,113.5
581466.112,5074557.688,TABR,6.2
581473.837,5074552.37,PSME,84.6
581470.02,5074558.271,TSHE,23.4
581475.536,5074554.943,ABAM,31.1
581467.791,5074564.361,TABR,12.1
581464.736,5074568.301,TABR,10.4
581478.388,5074554.019,PSME,40.6
581474.636,5074559.299,NA'(,60.0
581467.92,5074568.701,TSHE,34.6
581478.899,5074554.7,TSHE,40.3
581478.801,5074555.37,TSHE,22.7
581468.654,5074569.845,TABR,7.8
581469.436,5074569.909,TSHE,32.6
581480.345,5074555.059,PSME,120.4
581472.337,5074568.423,THPL,178.6
581475.738,5074568.286,TABR,20.7
581478.922,5074562.473,TABR,27.3
581479.414,5074565.109,TSHE,11.7
581480.737,5074568.447,TABR,13.8
581482.687,5074562.329,TSHE,80.9
581482.55,5074568.535,TABR,6.7
581485.298,5074565.664,TSHE,6.4
581485.109,5074562.256,NA'(,41.3
581467.47,5074521.168,TSHE,25.5
581480.237,5074522.358,PSME,136.4
581463.019,5074523.577,TSHE,7.4
581460.151,5074526.87,TABR,11.1
581468.777,5074527.467,TSHE,10.5
581467.633,5074529.896,TSHE,6.8
581463.933,5074531.595,TSHE,16.0
581466.103,5074532.74,TSHE,76.3
581463.543,5074534.935,TSHE,16.5
581474.428,5074527.496,TSHE,22.7
581469.316,5074532.54,TSHE,5.2
581462.62,5074539.046,TABR,7.2
581467.837,5074538.203,TSHE,20.3
581466.81,5074542.007,TSHE,49.8
581475.317,5074534.153,TSHE,5.9
581475.209,5074535.435,TSHE,21.4
581475.301,5074536.543,TSHE,31.1
581482.463,5074524.725,TSHE,59.0
581479.27,5074531.254,ABGR,76.5
581475.801,5074538.596,TSHE,92.5
581479.237,5074532.556,TSHE,17.8
581480.282,5074532.143,TSHE,13.2
581483.35,5074524.331,TABR,9.8
581411.018,5074597.534,PSME,70.0
581425.116,5074597.719,PSME,124.0
581411.056,5074599.461,PSME,84.3
581423.297,5074599.113,TSHE,60.2
581415.741,5074602.358,TSHE,93.3
581420.179,5074602.88,TSHE,35.3
581419.197,5074603.479,TSHE,12.7
581411.061,5074608.138,THPL,90.4
581424.656,5074602.499,TSHE,78.5
581422.896,5074606.006,TSHE,12.8
581417.449,5074613.311,TSHE,57.4
581416.018,5074616.991,THPL,7.1
581416.547,5074620.787,PSME,21.6
581426.152,5074609.473,TSHE,39.2
581427.772,5074608.161,PSME,82.3
581421.544,5074619.854,TSHE,36.2
581425.867,5074613.497,TSHE,57.0
581423.383,5074619.873,TABR,7.5
581428.872,5074611.08,PSME,35.7
581427.091,5074618.706,PSME,144.4
581429.076,5074613.504,TSHE,9.1
581432.08,5074609.083,PSME,70.6
581430.644,5074615.32,TSHE,33.6
581432.066,5074611.801,TSHE,61.9
581431.288,5074617.541,TSHE,20.7
581434.716,5074609.591,TSHE,13.0
581448.996,5074596.549,TSHE,32.6
581442.965,5074599.915,THPL,50.4
581439.892,5074601.674,THPL,182.2
581441.473,5074602.074,TSHE,22.3
581435.098,5074607.144,PSME,75.3
581435.051,5074609.963,TSHE,32.7
581437.177,5074608.792,TSHE,41.7
581448.913,5074603.935,TSHE,33.5
581436.035,5074612.523,TSHE,16.5
581448.533,5074605.266,PSME,86.3
581446.868,5074607.38,PSME,112.0
581449.909,5074606.108,TSHE,35.1
581436.502,5074619.726,TSHE,9.6
581454.072,5074602.759,PSME,82.7
581454.653,5074603.747,TSHE,68.1
581452.708,5074608.297,PSME,74.6
581452.743,5074610.08,PSME,25.9
581452.596,5074610.616,TSHE,11.2
581454.525,5074610.21,THPL,127.4
581454.601,5074611.741,TSHE,11.7
581456.699,5074616.046,TSHE,8.2
581458.743,5074606.449,TSHE,30.0
581458.83,5074611.512,TSHE,14.2
581471.894,5074596.987,PSME,121.0
581476.28,5074596.689,TSHE,12.1
581477.502,5074598.729,TSHE,13.3
581463.099,5074600.198,TABR,13.3
581464.349,5074602.925,PSME,147.4
581468.967,5074602.025,THPL,45.5
581461.292,5074609.514,TSHE,28.5
581460.045,5074612.523,TSHE,35.6
581470.984,5074604.757,PSME,121.1
581465.865,5074608.609,TSHE,14.0
581468.724,5074607.619,TSHE,65.4
581471.474,5074605.666,TSHE,10.5
581461.973,5074615.515,TSHE,21.8
581472.399,5074606.95,TSHE,38.2
581462.165,5074618.283,THPL,75.7
581462.953,5074619.022,THPL,130.6
581481.835,5074600.201,PSME,91.6
581478.771,5074605.33,THPL,58.8
581472.993,5074616.097,TSHE,74.9
581473.249,5074617.287,TSHE,13.8
581475.753,5074616.365,TSHE,35.7
581481.603,5074612.049,THPL,11.0
581494.649,5074595.693,TSHE,64.9
581491.677,5074596.057,TSHE,35.4
581499.529,5074597.731,TSHE,72.7
581488.201,5074600.167,TSHE,33.1
581493.386,5074599.48,THPL,123.0
581501.488,5074598.744,TSHE,22.8
581506.815,5074596.996,THPL,160.0
581492.917,5074602.984,TSHE,53.7
581500.241,5074600.431,TSHE,33.8
581495.518,5074606.482,TSHE,21.3
581485.802,5074614.7,TSHE,10.2
581501.199,5074602.913,TSHE,16.0
581500.663,5074603.24,TSHE,26.1
581498.192,5074606.406,TSHE,77.0
581490.067,5074614.495,TSHE,26.0
581494.66,5074617.897,THPL,182.5
581498.454,5074612.686,PSME,180.2
581502.086,5074612.474,THPL,118.8
581505.254,5074606.862,THPL,155.0
581505.195,5074613.232,TSHE,18.3
581508.735,5074605.913,PSME,142.3
581507.316,5074619.886,TSHE,53.3
581509.491,5074607.126,TSHE,44.7
581500.144,5074571.258,TSHE,70.5
581487.649,5074573.945,TSHE,21.6
581488.115,5074575.219,TABR,7.5
581498.57,5074575.175,TABR,9.7
581485.698,5074587.227,TSHE,17.1
581492.399,5074583.331,THPL,66.4
581496.527,5074582.515,TSHE,14.8
581487.423,5074590.603,TSHE,21.1
581485.226,5074593.799,TSHE,48.7
581494.576,5074588.38,TSHE,99.4
581499.168,5074586.73,PSME,75.1
581506.335,5074576.421,TSHE,14.4
581501.127,5074584.56,PSME,91.8
581498.316,5074591.969,TABR,5.9
581507.555,5074580.6,PSME,52.2
581505.992,5074587.345,TABR,8.4
581506.43,5074593.005,TSHE,31.1
581509.601,5074580.246,THPL,23.6
581509.466,5074581.653,PSME,126.2
581508.994,5074583.767,TSHE,38.3
581509.732,5074586.052,NA'(,74.1
581488.202,5074546.265,PSME,60.2
581487.802,5074546.986,TSHE,34.5
581499.623,5074548.452,TSHE,63.4
581489.251,5074552.212,PSME,101.8
581490.171,5074554.257,TSHE,87.9
581496.577,5074554.518,TSHE,8.9
581505.11,5074548.969,TSHE,9.7
581487.005,5074563.655,PSME,44.1
581488.511,5074562.85,TABR,32.6
581495.076,5074557.894,TSHE,33.8
581506.211,5074549.474,TSHE,22.8
581509.048,5074546.862,TSHE,9.5
581497.725,5074557.79,TABR,16.1
581502.02,5074555.082,TSHE,18.3
581500.293,5074557.818,TSHE,22.7
581491.973,5074568.124,PSME,117.9
581491.457,5074569.415,THPL,123.4
581493.313,5074567.705,TSHE,24.0
581497.987,5074564.688,TABR,6.1
581500.651,5074563.733,PSME,125.1
581503.551,5074563.517,TSHE,110.5
581506.632,5074553.387,TSHE,6.1
581502.452,5074569.176,PSME,126.1
581506.397,5074557.261,PSME,92.0
581506.014,5074562.324,TSHE,13.6
581507.256,5074568.668,TSHE,22.8
581497.661,5074521.185,PSME,91.0
581486.692,5074525.988,TSHE,20.3
581493.645,5074526.633,ABAM,5.4
581498.021,5074525.449,TSHE,67.9
581486.936,5074536.162,TSHE,87.4
581503.412,5074526.858,TSHE,98.8
581491.326,5074536.429,TSHE,19.0
581490.572,5074538.709,TSHE,14.1
581486.393,5074546.025,PSME,109.0
581496.239,5074537.23,ABAM,6.5
581495.533,5074539.158,TSHE,7.6
581492.428,5074543.72,TSHE,99.5
581499.178,5074545.107,PSME,38.7
581504.11,5074533.431,PSME,33.7
581502.796,5074538.295,TSHE,78.6
581505.88,5074535.945,TSHE,15.5
581508.087,5074529.83,ABAM,5.6
581505.738,5074545.065,TSHE,66.5
581509.332,5074542.366,THPL,123.5
581490.879,5074526.715,TABR,7.0
581424.488,5074539.31,CONU,0.0
581444.074,5074620.203,TSHE,0.0
581422.253,5074497.592,PSME,90.9
581417.012,5074496.855,PSME,46.9
581413.92,5074499.687,TABR,26.4
581420.429,5074500.031,TSHE,56.9
581415.626,5074501.692,PIMO,111.0
581415.78,5074502.525,PSME,47.1
581413.711,5074506.395,TSHE,6.4
581410.836,5074508.034,TSHE,7.1
581416.08,5074507.471,TSHE,5.2
581413.313,5074510.485,TSHE,5.6
581411.333,5074513.297,TSHE,10.9
581415.218,5074511.712,TSHE,5.7
581418.052,5074514.996,PSME,73.5
581424.288,5074509.525,PSME,92.1
581417.715,5074518.712,TSHE,10.0
581420.959,5074514.183,TSHE,33.5
581424.669,5074510.23,TSHE,9.3
581422.314,5074515.06,TSHE,6.1
581419.189,5074520.172,TABR,19.4
581420.616,5074520.418,PSME,95.5
581423.388,5074516.782,ABGR,61.2
581425.121,5074513.751,TSHE,5.6
581424.471,5074516.862,TSHE,50.3
581433.151,5074499.864,PSME,80.0
581432.625,5074501.568,ABGR,32.1
581428.568,5074509.87,TABR,12.7
581426.78,5074513.352,TSHE,18.2
581425.912,5074516.469,TSHE,15.4
581429.159,5074510.187,TABR,12.8
581431.997,5074507.145,PSME,109.5
581429.715,5074512.288,TABR,29.5
581427.491,5074518.459,TSHE,5.5
581427.762,5074520.392,ABGR,62.5
581433.669,5074503.389,TSHE,5.6
581433.391,5074507.162,TSHE,6.9
581434.099,5074516.261,TABR,27.7
581434.195,5074519.295,PSME,110.8
581455.507,5074496.005,TSHE,22.1
581441.547,5074499.151,TABR,24.9
581447.097,5074499.531,TABR,5.5
581452.181,5074498.793,TSHE,70.0
581447.969,5074500.22,TABR,7.9
581447.539,5074501.052,TABR,7.4
581437.329,5074503.988,TABR,11.4
581440.51,5074503.871,TSHE,24.0
581447.78,5074502.706,ABAM,17.1
581450.119,5074502.745,PSME,129.5
581436.992,5074508.701,TSHE,96.6
581443.504,5074508.358,TSHE,16.5
581446.67,5074506.299,TSHE,22.2
581449.749,5074505.17,TABR,17.7
581454.813,5074500.89,THPL,7.6
581450.64,5074507.892,TABR,8.5
581444.14,5074516.535,TSHE,83.1
581450.801,5074510.628,PSME,71.8
581450.164,5074513.203,ABGR,45.6
581444.926,5074519.682,TABR,8.9
581445.911,5074518.927,TABR,6.5
581449.886,5074517.645,TSHE,36.2
581451.257,5074519.492,ABGR,66.9
581452.122,5074515.587,TABR,5.6
581454.256,5074509.871,ABAM,15.9
581457.409,5074502.15,ABGR,87.7
581458.522,5074500.235,CONU,5.1
581459.478,5074498.198,PSME,33.5
581458.585,5074501.891,TSHE,5.8
581458.469,5074502.351,TSHE,18.6
581460.062,5074498.61,PSME,85.9
581459.931,5074509.868,TSHE,6.8
581459.157,5074470.997,TABR,17.4
581456.104,5074472.087,TSHE,38.9
581442.811,5074471.985,TABR,13.8
581436.649,5074472.501,TSHE,13.6
581435.324,5074474.111,TSHE,27.5
581435.775,5074475.65,TABR,5.7
581441.088,5074474.534,ABGR,38.2
581440.776,5074475.217,TABR,19.4
581438.318,5074475.93,TSHE,10.4
581443.67,5074475.949,TABR,9.0
581436.622,5074480.253,PSME,113.5
581449.381,5074475.162,PSME,94.4
581445.985,5074476.807,PSME,89.6
581443.02,5074479.395,TSHE,14.3
581436.903,5074482.593,PSME,62.3
581436.822,5074483.634,TSHE,29.7
581435.928,5074484.442,TSHE,6.6
581446.3,5074479.432,TABR,8.5
581444.172,5074481.618,TSHE,24.9
581436.918,5074485.348,TSHE,6.0
581437.749,5074485.885,TSHE,5.0
581439.198,5074484.748,TSHE,23.2
581436.739,5074487.989,ABGR,47.5
581447.59,5074480.512,TSHE,9.1
581450.171,5074480.675,TSHE,9.0
581440.484,5074487.416,TSHE,5.6
581439.777,5074488.036,NA'(,89.0
581438.545,5074494.802,THPL,104.5
581443.97,5074495.206,TSHE,14.7
581444.278,5074495.031,TSHE,8.1
581445.273,5074494.983,TSHE,6.4
581445.708,5074495.324,TSHE,5.9
581450.661,5074487.987,PSME,154.0
581451.323,5074490.368,TABR,8.4
581451.539,5074489.773,THPL,63.5
581458.592,5074474.461,PSME,60.8
581449.273,5074494.916,TSHE,13.2
581453.706,5074490.038,TSHE,12.7
581452.481,5074495.195,TSHE,6.0
581455.051,5074490.134,TSHE,10.0
581458.134,5074488.371,TSHE,34.2
581433.856,5074470.947,PSME,33.5
581420.948,5074471.131,PSME,100.0
581421.681,5074471.592,PSME,65.0
581419.763,5074472.009,TSHE,39.7
